history_date,temperature,precipitation,humidity
20220911T0600,14.010245,0.0,91.23899
20220911T0700,15.760245,0.0,84.85824
20220911T0800,17.280245,0.0,78.53092
20220911T0900,18.510244,0.0,72.46422
20220911T1000,19.550245,0.0,68.73929
20220911T1100,20.580246,0.0,63.88616
20220911T1200,21.030245,0.0,61.364452
20220911T1300,21.930244,0.0,57.039257
20220911T1400,22.290245,0.0,54.5619
20220911T1500,22.390245,0.0,53.062202
20220911T1600,22.210245,0.0,53.54336
20220911T1700,21.110245,0.0,58.89612
20220911T1800,17.600245,0.0,73.30467
20220911T1900,15.740245,0.0,81.62719
20220911T2000,14.790245,0.0,85.14298
20220911T2100,14.070246,0.0,87.35061
20220911T2200,13.050245,0.0,90.99093
20220911T2300,12.110246,0.0,94.70312
20220912T0000,11.530245,0.0,96.01549
20220912T0100,10.8102455,0.0,97.41754
20220912T0200,10.330245,0.0,97.86495
20220912T0300,10.260245,0.0,97.07521
20220912T0400,10.130245,0.0,96.7443
20220912T0500,10.300245,0.0,95.84036
20220912T0600,11.070246,0.0,94.210846
20220912T0700,13.910245,0.0,86.87297
20220912T0800,16.470245,0.0,79.55295
20220912T0900,18.600245,0.0,71.25722
20220912T1000,19.570246,0.0,69.14858
20220912T1100,21.550245,0.0,63.395916
20220912T1200,23.020245,0.0,58.246918
20220912T1300,24.270245,0.0,52.545853
20220912T1400,24.830246,0.0,49.334698
20220912T1500,25.070246,0.0,47.74632
20220912T1600,24.780245,0.0,48.424793
20220912T1700,22.880245,0.0,59.43578
20220912T1800,19.280245,0.0,72.46196
20220912T1900,17.120245,0.0,81.11599
20220912T2000,16.250246,0.0,84.96758
20220912T2100,15.400246,0.0,87.247314
20220912T2200,14.770246,0.0,89.9239
20220912T2300,14.520246,0.0,89.96379
20220913T0000,14.250245,0.0,89.94297
20220913T0100,13.680245,0.0,90.91534
20220913T0200,13.040245,0.0,92.69694
20220913T0300,12.790245,0.0,93.67183
20220913T0400,12.840245,0.0,92.132645
20220913T0500,13.140245,0.0,89.85582
20220913T0600,14.110246,0.0,86.147255
20220913T0700,16.990246,0.0,78.07684
20220913T0800,19.510244,0.0,71.334625
20220913T0900,21.910246,0.0,66.62835
20220913T1000,24.140245,0.0,60.932045
20220913T1100,26.040245,0.0,55.468166
20220913T1200,27.120245,0.0,51.40271
20220913T1300,27.670246,0.0,50.020405
20220913T1400,27.280245,0.0,50.920113
20220913T1500,27.130245,0.0,52.266994
20220913T1600,26.730246,0.0,54.89946
20220913T1700,26.230246,0.0,54.565628
20220913T1800,23.140245,0.0,67.30868
20220913T1900,22.540245,0.3,70.84434
20220913T2000,21.250246,0.6,80.26323
20220913T2100,21.130245,0.5,79.488014
20220913T2200,20.490246,0.0,85.08729
20220913T2300,20.500246,0.1,84.76621
20220914T0000,20.460245,0.2,84.01448
20220914T0100,20.310246,1.2,84.26464
20220914T0200,20.220245,1.6,85.329346
20220914T0300,20.000246,0.8,87.053734
20220914T0400,19.940245,0.0,87.3242
20220914T0500,19.670246,0.0,89.256424
20220914T0600,19.640245,0.0,89.93375
20220914T0700,20.910246,0.0,87.02505
20220914T0800,22.300245,0.0,80.14874
20220914T0900,23.180244,0.0,75.014275
20220914T1000,23.240246,0.0,73.20422
20220914T1100,23.580246,0.0,70.5876
20220914T1200,23.300245,0.4,70.312935
20220914T1300,22.210245,1.3,76.77611
20220914T1400,22.530245,0.9,77.407425
20220914T1500,22.860245,1.3,73.92926
20220914T1600,22.350245,0.0,77.18589
20220914T1700,21.510244,0.0,79.64058
20220914T1800,20.570246,0.0,82.60202
20220914T1900,19.720245,2.3,84.95398
20220914T2000,19.260244,1.2,85.94086
20220914T2100,19.040245,0.5,85.09998
20220914T2200,18.510244,0.3,88.431526
20220914T2300,18.380245,1.5,89.44353
20220915T0000,18.080246,1.1,90.10989
20220915T0100,18.080246,0.4,89.9372
20220915T0200,17.940245,0.9,88.66834
20220915T0300,17.420246,0.7,90.17853
